    DEPTH,    RHOB,             NPHI,             CALI,             GR,               DT,               SP,               SFLU,             ILM,              ILD
    3104.000, 2.13137687,       0.20729443,       9.53651029,       17.66700037,      88.67021277,      -18.24109299,     4.77978513,       3.63487479,       3.91671425
    3104.500, 2.32105071,       0.21525199,       9.21648559,       32.43037653,      89.73404255,      -16.44889783,     3.91671425,       2.76420683,       2.83387929
    3105.000, 2.28198721,       0.23275862,       8.88882250,       52.65536488,      89.20212766,      -12.73542970,     4.38097259,       2.69624731,       2.32217455
    3105.500, 2.31954089,       0.23594164,       8.76227029,       62.59598433,      85.47872340,      -7.52590047,      4.54764706,       2.83213215,       2.20939435
    3106.000, 2.36357563,       0.21286472,       8.76611222,       55.82239209,      85.47872340,      -6.48734104,      4.43584070,       2.83685195,       2.27201473
    3106.500, 2.36878650,       0.19297082,       8.76682010,       53.32493760,      85.42384825,      -6.02957607,      4.32678316,       2.76420683,       2.25651557
    3107.000, 2.34933627,       0.18183024,       8.87558019,       45.30076326,      83.36335177,      -6.41326775,      5.34634552,       3.01584053,       2.66756924
    3107.500, 2.30549186,       0.19297082,       8.87664792,       40.24409698,      81.75531915,      -6.14161719,      6.13079059,       3.63487479,       2.97853679
    3108.000, 2.35700967,       0.22559682,       8.87739561,       61.03542190,      84.94680851,      -2.81739073,      6.28531854,       4.90026069,       5.41330414
    3108.500, 2.55813298,       0.12135279,       8.93289564,       35.75939390,      72.18085106,      -2.89936988,      8.90591702,       8.26506383,       9.13039266
    3109.000, 2.39703687,       0.17864721,       8.95902996,       28.42271990,      61.54255319,      -8.49633985,      25.90177109,      13.94033591,      15.98573828
    3109.500, 2.19239040,       0.18819629,       9.07603819,       21.30784057,      79.23523936,      -12.68941047,     12.00627742,      14.29170521,      17.01217045
    3110.000, 2.24871161,       0.18978780,       9.08402410,       22.04472961,      86.57949324,      -15.32994543,     11.14232807,      10.60118272,      14.47069717
    3110.500, 2.28125124,       0.16273210,       8.82102358,       21.50589141,      79.51215178,      -17.32496408,     15.02123607,      10.86838791,      12.61914689
    3111.000, 2.24196749,       0.17068966,       8.52229681,       18.31387616,      78.56382979,      -18.77070746,     11.97978725,      11.28187665,      11.70515092
    3111.500, 2.25113064,       0.16909814,       8.39107196,       13.93200645,      78.56382979,      -18.36270104,     15.04432436,      12.30889834,      11.42115105
    3112.000, 2.24151324,       0.17068966,       8.39240656,       13.95451342,      81.75531915,      -19.30410505,     17.44096603,      12.94753976,      9.96493674
    3112.500, 2.23761487,       0.18183024,       8.39247312,       19.63541283,      83.88297872,      -21.37442897,     12.00627742,      8.87007269,       7.50533579
    3113.000, 2.25348017,       0.19774536,       8.39247312,       36.21489697,      83.86814733,      -22.38807480,     8.68676978,       6.94337364,       6.28531854
    3113.500, 2.24615068,       0.19774536,       8.39247312,       17.99182636,      82.24557349,      -22.95027847,     10.85487201,      6.13079059,       5.15039819
    3114.000, 2.24709509,       0.19137931,       8.39249644,       26.35244405,      83.88297872,      -23.78159513,     7.67032524,       5.76088831,       3.52818677
    3114.500, 2.25657310,       0.18342175,       8.38636824,       26.77800258,      83.35106383,      -23.80286350,     11.14232807,      3.63487479,       1.95709384
    3115.000, 2.27482673,       0.18342175,       8.48349893,       30.25234136,      81.79962267,      -23.25497560,     3.72649262,       0.83685770,       0.57608883
    3115.500, 2.13495996,       0.26777188,       9.02166387,       43.96616708,      80.65553984,      -17.59236327,     1.15662389,       0.53463455,       0.39657679
    3116.000, 1.97025711,       0.43965517,       11.22844636,      73.59380811,      84.45072673,      -1.95403978,      1.24630573,       0.65244440,       0.43809726
    3116.500, 1.95972742,       0.43965517,       10.87280739,      89.49761094,      96.64893617,      28.29212079,      3.60244958,       1.21566463,       1.13785135
    3117.000, 1.96830017,       0.37440318,       10.32620857,      70.02097696,      102.50000000,     33.56111112,      7.14984747,       4.67748269,       5.07954093
    3117.500, 1.95158867,       0.36167109,       10.18911435,      64.38048221,      99.30851064,      35.37972441,      5.68963033,       4.38690197,       5.03271641
    3118.000, 1.95987816,       0.44975503,       10.59960271,      74.69363032,      109.94680851,     38.94669584,      5.02377286,       3.04849690,       4.21325279
    3118.500, 2.06056493,       0.39042951,       9.90529783,       87.47630129,      118.45744681,     44.25227190,      4.22040686,       3.63487479,       4.22452056
    3119.000, 2.14140874,       0.29641910,       9.73309216,       86.15543054,      91.86170213,      44.81850248,      5.02377286,       4.32678316,       4.22040686
    3119.500, 2.19695320,       0.32029178,       9.75165066,       87.67609313,      85.47872340,      39.97824183,      5.98006179,       4.54764706,       4.90026069
    3120.000, 2.16385645,       0.40895711,       9.78977298,       94.09959292,      90.00000000,      29.04789482,      4.90026069,       4.13691163,       3.41556401
    3120.500, 2.37192107,       0.24685637,       9.14867153,       56.01003009,      94.52127660,      18.82883063,      3.54550943,       1.20437337,       1.63886624
    3121.000, 2.35385506,       0.23106729,       8.75093334,       42.81873014,      83.88297872,      3.46978697,       1.18577685,       0.70303337,       0.60549572
    3121.500, 2.36924509,       0.21667836,       8.55051729,       39.67587086,      80.69148936,      -7.83277209,      1.44706972,       0.57608883,       0.48396480
    3122.000, 2.38079209,       0.20231791,       8.46122375,       38.22488082,      80.69148936,      -12.50204851,     1.68017423,       0.43809726,       0.49616325
    3122.500, 2.29088366,       0.19727720,       8.38423109,       21.58290124,      80.95744681,      -15.74606773,     0.62853185,       0.27300156,       0.26299586
    3123.000, 2.27239076,       0.20548078,       8.49712150,       14.98470994,      81.75946936,      -11.74369711,     0.47206627,       0.20760902,       0.20250484
    3123.500, 2.26750311,       0.21717929,       8.55255520,       14.84083682,      82.84384493,      -5.76115638,      0.57608883,       0.20250484,       0.20250484
    3124.000, 2.26290052,       0.21337016,       8.55497457,       13.08028337,      80.15957447,      -4.43056665,      0.41682035,       0.21820658,       0.21820658
    3124.500, 2.24770306,       0.23912467,       8.49589858,       16.40222450,      81.22340426,      -3.75431346,      0.49616325,       0.24712796,       0.25974279
    3125.000, 2.26828115,       0.20729443,       8.50042214,       14.06597656,      80.69148936,      -8.63382374,      0.39657679,       0.24712796,       0.25335688
    3125.500, 2.27319196,       0.19615385,       8.49627506,       13.97771668,      79.62765957,      -9.35484614,      0.48396480,       0.23512579,       0.24105219
    3126.000, 2.27277603,       0.19456233,       8.40104071,       14.84162958,      82.81914894,      -4.58164909,      0.52149027,       0.21284185,       0.22370652
    3126.500, 2.26904333,       0.21206897,       8.28182198,       15.72107661,      81.22340426,      0.40304147,       0.46048775,       0.20760902,       0.21284185
    3127.000, 2.27909154,       0.19774536,       8.28504723,       15.07892919,      79.09574468,      1.30074397,       0.47159615,       0.21820658,       0.20760902
    3127.500, 2.28376086,       0.19456233,       8.25691971,       13.52992685,      78.56382979,      -1.64217893,      0.52149027,       0.23512579,       0.24105219
    3128.000, 2.28377665,       0.20704549,       8.17448333,       12.55212489,      79.09574468,      -5.22530281,      0.41682035,       0.24712796,       0.24712796
    3128.500, 2.28377660,       0.18829091,       8.17700090,       15.77477330,      79.09574468,      -8.23292249,      0.56192538,       0.24105219,       0.25335688
    3129.000, 2.28381993,       0.18819629,       8.17842626,       15.72072865,      78.03191489,      -13.34872660,     0.52204053,       0.24105219,       0.24712796
    3129.500, 2.28394618,       0.21380808,       8.23359744,       14.19740278,      76.96808511,      -9.32881217,      0.42732640,       0.24105219,       0.22302364
    3130.000, 2.27174926,       0.19582475,       8.27257198,       13.32151514,      78.03191489,      -9.24986014,      0.50866915,       0.24024305,       0.22415732
    3130.500, 2.21977347,       0.25009428,       8.28424419,       26.90307705,      82.81914894,      -13.08910392,     0.47206627,       0.25437060,       0.22369022
    3131.000, 2.10492820,       0.28534112,       8.28515611,       27.72794458,      88.67021277,      -15.19187466,     0.36803986,       0.27400398,       0.29416945
    3131.500, 2.08486322,       0.28230185,       8.28038291,       24.36233905,      95.58510638,      -14.12450837,     0.38682674,       0.28786653,       0.26628967
    3132.000, 2.24558161,       0.21263752,       8.33706128,       15.71901897,      93.98936170,      -12.31722326,     0.32496816,       0.24105219,       0.24105219
    3132.500, 2.25970714,       0.21526585,       8.39136496,       13.99093076,      78.03191489,      -8.39344782,      0.31697864,       0.21284185,       0.21284185
    3133.000, 2.25712748,       0.22161804,       8.39233639,       13.24015665,      80.15957447,      -12.28949467,     0.40657260,       0.20760902,       0.20760902
    3133.500, 2.26192451,       0.20729443,       8.39247312,       12.38832294,      80.15957447,      -14.09833649,     0.47206627,       0.21284185,       0.20760902
    3134.000, 2.28531692,       0.20411141,       8.39247312,       12.19346059,      78.55961204,      -18.20325097,     0.41781223,       0.21820658,       0.22370595
    3134.500, 2.28367984,       0.21684350,       8.39293503,       17.39037042,      78.04162106,      -18.15521854,     0.35907567,       0.22350163,       0.22316902
